avg_price,closed_price,datetime,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,name,open_price,rarity,volume,wa_price
10.0,10.0,2021-02-08,6.0,15.0,6021d104ecdd910024c743b6,10.0,10.0,10.0,0.0,11.7,Elemental Sandstorm,10.0,Rare,1.0,10.0
5.0,5.0,2021-02-03,1.0,5.0,601b3933ecdd910022c20f7a,5.0,5.0,5.0,0.0,4.2,Embedded Catalyzer,5.0,Uncommon,1.0,5.0
12.0,12.0,2021-02-13,12.0,15.0,60286855ecdd910023cc7191,12.0,12.0,12.0,0.0,12.8,Empowered Quiver,12.0,Rare,2.0,12.0
15.0,15.0,2021-02-11,10.0,15.0,6025c581ecdd910022c9de1e,15.0,15.0,15.0,0.0,11.8,Endless Lullaby,15.0,Rare,1.0,15.0
6.0,6.0,2021-02-01,4.0,6.0,60189655ecdd910023c0b309,6.0,6.0,6.0,0.0,5.0,Enduring Affliction,6.0,Uncommon,1.0,6.0
2.0,2.0,2021-01-11,2.0,8.0,5ffce6abecdd910025aa9cb7,2.0,2.0,2.0,0.0,5.4,Enduring Strike,2.0,Common,1.0,2.0
4.5,4.0,2021-02-13,2.0,10.0,6028681decdd910025cab376,5.0,4.5,4.0,0.0,4.5,Enemy Sense,5.0,Rare,9.0,4.444
28.0,28.0,2021-02-13,18.0,28.0,60286888ecdd910024cc4bb7,28.0,28.0,28.0,0.0,24.1,Energizing Shot,28.0,Rare,1.0,28.0
2.0,2.0,2021-02-04,2.0,5.0,601c8ab3ecdd910023c39328,2.0,2.0,2.0,3.0,3.2,Energy Channel,2.0,Rare,2.0,2.0
57.5,45.0,2021-02-13,25.0,70.0,6028682eecdd910025cab640,70.0,56.5,45.0,5.0,47.8,Energy Conversion,70.0,Rare,4.0,57.0
3.0,3.0,2021-02-12,2.0,3.0,602716f7ecdd910025c9bc23,3.0,3.0,3.0,0.0,2.8,Energy Field,3.0,Rare,1.0,3.0
14.0,14.0,2021-02-12,5.0,15.0,6027170aecdd910022cadf83,14.0,14.0,14.0,0.0,13.6,Energy Transfer,14.0,Rare,1.0,14.0
5.0,5.0,2021-02-13,2.0,5.0,60286838ecdd910025cab818,5.0,5.0,5.0,0.0,,Enhanced Vitality,5.0,Common,1.0,5.0
9.0,9.0,2021-02-12,8.0,14.0,60271707ecdd910024cb41c3,9.0,9.0,9.0,0.0,10.4,Enveloping Cloud,9.0,Rare,1.0,9.0
